"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"P4HTM",0.374346555749785,0.131295719797311,0.39489680976042,0.122662792731029,FALSE
"CD302",-0.12788948150441,0.132124698773629,-0.122888413508764,0.254978778118321,FALSE
"FAM133B",-0.151840919160787,0.132124698773629,-0.0924928247857799,0.479739882066027,FALSE
"FAS",0.248703880991552,0.132124698773629,0.389079846983944,0.044703103974568,FALSE
"NOP14",-0.347230463342823,0.132300591556222,-0.274477796271434,0.296429940372149,FALSE
"CWC27",0.147157571099612,0.132588490179319,0.178166689078186,0.179704324442252,FALSE
"UBTD2",0.15739182876855,0.132588490179319,0.169858708720089,0.193378398472116,FALSE
"ARHGAP18",0.486542643642162,0.132588490179319,0.314564422962478,0.0609106485064116,FALSE
"POGLUT3",0.396512125951499,0.132588490179319,0.367486032275829,0.0940202522700965,FALSE
"ZNF611",-0.155553337916804,0.132588490179319,-0.173810080048103,0.139491356649632,FALSE
"MIS18BP1",0.298088134111162,0.132802624608667,0.233225020842634,0.097243788103015,FALSE
"ZNF766",-0.253306455152456,0.132880193413139,-0.180845095347596,0.372754818516834,FALSE
"PI4KA",-0.104970372807242,0.132952748857808,-0.105244969821137,0.248281883268064,FALSE
"NPAT",-0.222359712112378,0.133104839969113,-0.249570598676907,0.0880271111118991,FALSE
"PMS1",0.266286042902498,0.133152774028774,0.176177974966186,0.274035828136635,FALSE
"PRRC2A",-0.193542759883297,0.133155373214817,-0.172678095188616,0.279639413700195,FALSE
"GRB10",-0.311580309434345,0.133173057105716,-0.306902691679402,0.0242740221611243,FALSE
"HEATR1",-0.244252833648972,0.133255648162795,-0.163161323480454,0.377678823904518,FALSE
"DZIP1L",0.34546166598012,0.133255648162795,0.41159454841729,0.106954012518762,FALSE
"ZFAT",-0.270019153805405,0.133255648162795,-0.212153583489693,0.27799368710522,FALSE
"ZNF506",-0.153516389107931,0.133255648162795,-0.139594761755189,0.227140717490351,FALSE
"AC016590.1",0.383829985873052,0.133255648162795,0.209189190564392,0.443104385475438,FALSE
"AL122035.1",-0.29167252246806,0.133289347381273,-0.223592366066276,0.339660996403991,FALSE
